"Id","Existencia_de_irmãos","Experiência_conjugal","Sexo","IdadeIndiv","Horas_Trabalho_Semana","Tamanho_do_Agregado","Nivel_de_Escolaridade","resp"
940,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
944,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,"<16",1,"Superior","Não tem filhos e não pensa vir a ter"
958,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,"<16",1,"Superior","Não tem filhos e não pensa vir a ter"
963,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
969,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",47,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
975,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
984,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
985,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
987,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",47,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
990,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
993,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
994,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",47,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
995,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,NA,1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
1003,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",47,NA,1,"Superior","Não tem filhos e não pensa vir a ter"
